instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0.143428819,-0.402999132,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",1,1,001,male,2020-10-19_12h31.43.639,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0.143428819,-0.402999132,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",1,1,001,male,2020-10-19_12h31.43.639,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,1,001,male,2020-10-19_12h31.43.639,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.29351,,,,,,,,1.29351,1,0,0,0,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,1,1,001,male,2020-10-19_12h31.43.639,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.578895,,,,,,,,2.578895,1,0,1,1,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,1,1,001,male,2020-10-19_12h31.43.639,openIAT,2020.1.0rc3,MacIntel,60,a,1,5.38249,,,,,,,,5.38249,1,0,2,2,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,1,1,001,male,2020-10-19_12h31.43.639,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.62947,,,,,,,,0.62947,1,0,3,3,5,1,stimuli/blank.png,Agony,l
,,,,,,,,,,,,1,1,001,male,2020-10-19_12h31.43.639,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.06508,,,,,,,,0.06508,0,0,4,4,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,1,1,001,male,2020-10-19_12h31.43.639,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.099235,,,,,,,,1.099235,1,0,5,5,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,1,1,001,male,2020-10-19_12h31.43.639,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.31402,,,,,,,,0.31402,0,0,6,6,2,1,stimuli/blank.png,Happy,a
