instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0.449074074,-0.226851852,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",sss,1,001,male,2024-08-21_14h23.31.807,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
0.452777778,-0.22037037,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",sss,1,001,male,2024-08-21_14h23.31.807,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,sss,1,001,male,2024-08-21_14h23.31.807,openIAT,2020.1.0rc3,Win32,60,l,1,4.5218,,,,,,,,4.5218,1,0,0,0,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,sss,1,001,male,2024-08-21_14h23.31.807,openIAT,2020.1.0rc3,Win32,60,l,1,0.8494,,,,,,,,0.8494,1,0,1,1,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,sss,1,001,male,2024-08-21_14h23.31.807,openIAT,2020.1.0rc3,Win32,60,a,1,1.0003,,,,,,,,1.0003,1,0,2,2,2,1,stimuli/blank.png,Happy,a
,,,,,,,,,,,,sss,1,001,male,2024-08-21_14h23.31.807,openIAT,2020.1.0rc3,Win32,60,a,1,1.1903,,,,,,,,1.1903,1,0,3,3,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,sss,1,001,male,2024-08-21_14h23.31.807,openIAT,2020.1.0rc3,Win32,60,a,1,0.9188,,,,,,,,0.9188,1,0,4,4,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,sss,1,001,male,2024-08-21_14h23.31.807,openIAT,2020.1.0rc3,Win32,60,l,0,2.4129,,,,,,,,2.4129,0,0,5,5,0,1,stimuli/blank.png,Good,a
